,매체명,헤드라인,내용요약,뉴스url
0,넥스트데일리,"풀무원로하스 ‘로젠빈’, 8월31일까지 ‘대한민국 여성건강 독립만세’ 캠페인 진행",풀무원건강생활의 프리미엄 건강기능식품 브랜드 풀무원로하스의 ‘로젠빈’이 광복절을 기념해 오는 8월 31일까지 우리나라 여성의 건강과 활기찬 인생을 응원하는 ‘대한민국 여성건강 독립만세’ 캠페인을...,http://www.nextdaily.co.kr/news/article.html?id=20170810800039
1,중앙일보,[굿모닝 내셔널]동해 아닌 서해 태안에 오징어 황금어장 떳다,간 해독과 시력 회복에 좋고 성인병을 억제하는 EPA·DHA 등이 함유돼 건강식품으로도 인기다. 지난 9일 오전 9시 충남 태안군 신진도항에서 밤새 오징어 잡이를 끝내고 들어온 배들이 하역작업을 하기 위해 기다리고...,http://news.joins.com/article/olink/21426444
2,경북도민일보,"안동단호박, 수출국 日서 인기","이종원 유통특작과장은 ""매년 수출이 증가하고 있는 단호박을 안동의 주력상품으로 키우기 위해 엄격한 선별 포장과 수확 후 품질향상을 위한 현대화 장비를 지원하겠으며 여름철 건강식품으로 단호박을...",http://www.hidomin.com/news/articleView.html?idxno=335891
3,매일신문,벌써 추석 선물 마케팅 나서는 유통가,"농`축`수산물과 건강식품 등 총 177개 품목에 대해 최대 75% 할인 판매한다. 현대백화점도 오는 25일부터 다음 달 14일까지, 대백프라자는 오는 27일부터 다음 달 14일까지 19일간 각각 추석선물 사전 예약 판매에...",http://www.imaeil.com/sub_news/sub_news_view.php?news_id=36381&yy=2017
4,경상매일신문,‘안동 단호박’ 일본人 입맛 사로잡아,"이종원 유통특작과장은 ""매년 수출이 증가하고 있는 단호박을 안동의 주력상품으로 키우기 위해 엄격한 선별 포장과 수확 후 품질향상을 위한 현대화 장비를 지원하겠다""며 ""여름철 건강식품으로 단호박을 적극...",http://www.ksmnews.co.kr/default/index_view_page.php?idx=182611&part_idx=278
5,뉴데일리,"이승훈 시장, 청주 농식품 美수출 교두보 마련","이번 수출상담회에서는 전통장류, 청원생명쌀, 한방삼계탕재료, 김치, 건강기능성식품, 선식류 등 시 농식품에 대한 관심이 높았으며, 특히 (사)사슴클러스터사업단의 녹용·인삼제품이 미국 현지 기업인 KD ONE GROUP과...",http://www.newdaily.co.kr/news/article.html?no=353346
6,인천일보,한가로이 한가득 … 미리 준비하는 한가위,"롯데백화점은 다음달 10일까지 정육, 굴비, 청과, 건강식품 선물세트 등 다양한 선물세트 상품을 선보인다. 이번 행사에서는 지난해보다 60여 품목이 늘어난 총 210여개 품목을 최대 50% 저렴하게 내놓는다. 또...",http://www.incheonilbo.com/?mod=news&act=articleView&idxno=775200
7,머니투데이,"우울한 백화점·마트, 폭염 속 '추석 장사' 총력전","배, 사과, 곶감 등 농산 27품목, 한우 등 축산 30품목, 굴비, 갈치 등 수산 16품목, 건강식품 24품목 등 총 177가지 품목이다. 정상가격 대비 최대 75% 저렴한 가격에 살 수 있다. 롯데백화점은 본점, 부산본점 등 33개...",http://www.mt.co.kr/view/mtview.php?type=1&no=2017081015275242331&outlink=1
8,메디컬투데이,"서울시 ‘청년수당 클린카드’, 소주방ㆍ모텔ㆍ대리운전비까지 결제 가능","주류, 건강기능식품 등을 살 수 있는 것이 드러났다. 뿐만 아니라 오토바이 수리점에서 오토바이 수리서비스를 받을 수 있고, 녹즙 등을 취급하는 건강원과 결혼정보업체도 이용할 수 있다. 대리운전비, 때밀이 비용...",http://www.mdtoday.co.kr/mdtoday/index.html?no=292914
9,약업신문,‘CPhI Korea 2017’ 8월 22일 코엑스서 개막,특히 올해는 캐나다의 서스캐처원 지역의 건강기능식품 및 원료 산업 현황을 알리기 위해 Saskatchewan Trade and Export Partnership의 Yi Zeng 상무와 관련 캐나다 업체 대표들이 강연을 펼치며 스위스...,http://www.yakup.com/news/index.html?mode=view&cat=12&nid=208618
