,매체명,헤드라인,내용요약,뉴스url
0,아이뉴스24,일회용 생리대 불안에…대안 생리대 판매 전년比 1900% ↑,"해외배송대행서비스 몰테일이 지난 18~24일 건강식품 전문쇼핑몰 '비타트라'의 생리용품 해외직구 건수를 집계한 결과, 전주 대비 약 6.6배가 상승한 것으로 나타났다. 특히 의약외품으로 분류돼 현재 국내에서 판매가...",http://www.inews24.com/php/news_view.php?g_serial=1044311&g_menu=022500&rrf=nv
1,중앙일보,[오늘의 운세] 8월 26일,말 - 재물 : 지출 건강 : 주의 사랑 : 답답 길방 : 北 30년생 과식하지 말고 건강식품 섭취. 42년생 힘든 일 하지 말고 놀면서 지낼 것. 54년생 무리하지 말고 형편에 맞춰. 66년생 운전은 안전이 최우선. 78년생 져주는...,http://news.joins.com/article/olink/21468408
2,중앙일보,"식약처, 최근 3년간 생산·수입 모든 생리대 독성 조사",이날 해외 배송대행업체 몰테일이 건강식품 전문쇼핑몰 ‘비타트라’의 생리용품 해외직구 건수를 집계한 결과 최근 일주일(18~24일)간 주문 물량이 직전(11~17일)의 약 6.6배나 됐다. 유기농 소재의 ‘친환경’ 생리대도...,http://news.joins.com/article/olink/21468419
3,동아일보,생리용품 해외직구 급증… 안전성은 “글쎄”,해외배송 대행업체인 몰테일은 자사 건강식품 전문쇼핑몰 생리용품 해외 직구 건수를 집계한 결과 18∼24일 주문 물량이 전주 대비 약 6.6배 늘었다고 밝혔다. 순면과 유기농 소재를 쓰는 것으로 알려진 한 외국 생리대...,http://news.donga.com/3/all/20170826/85994241/1
4,조선일보,[Why] 병원 갔더니 오십견이란다… 내 나이 70인데 '푸하하',"건강식품, 건강 요법, 건강보험 그리고 비타민. 그만큼 우리는 오래 살고 싶어 하고 건강을 유지하고 싶어 한다. 몸에 좋다는 건 다 먹는다. 온갖 뿌리, 액체, 유기농 식품, 약, 특히 비타민은 필수다. 비타민 산업은 전...",http://news.chosun.com/site/data/html_dir/2017/08/25/2017082501837.html
5,한국일보,[아하! 생태!] 모진풍파 견디며 1800년 살아가는 바오밥나무,또 항산화물질이 풍부해 최근에는 기능성 식품이나 건강보조식품으로서 각광받고 있습니다. 우리나라에서도 바오밥나무 열매의 분말을 판매하고 있답니다. 아프리카바오밥의 잎과 수피. 바오밥나무 껍질에서 뽑아낸...,http://www.hankookilbo.com/v/647c464a6b2f4164ac54ef65a7f49770
6,국민일보,최근 3년간 생산·유통된 모든 생리대 유해물질 조사,해외배송대행서비스 몰테일은 건강식품 전문쇼핑몰 비타트라의 해외 직구 건수를 집계한 결과 지난 18일부터 24일까지 생리용품 구매가 1주일 전보다 약 6.6배 늘었다고 25일 밝혔다. 영국 여성환경운동가 수지 휴스...,http://news.kmib.co.kr/article/view.asp?arcid=0923805021&code=11132000&cp=nv
7,쿠키뉴스,"화학물질 범벅 생리대…여성들, 직접 성분 알아보고 대안 찾는다",이미 건강식품 직구 사이트인 '아이허브' 등에서 나트라케어와 콜만은 일시품절 상태에 놓일 정도로 소비자의 불안감이 심각하다. 몰테일에 따르면 건강식품 사이트인 '비타트라'에서도 금주 생리용품 해외직구 건수를...,http://www.kukinews.com/news/article.html?no=479417
8,이코노믹리뷰,[biz 인사이드] 네슬레는 어떻게 주방기업에서 벗어 났을까②,"예를 들어, 미국에서는, 사람들이 더 건강한 식품을 찾는 경향을 보이면서 초콜릿 사업에 경고등이 들어 온 상태다. 이달 들어 네슬레는 미국의 캔디 사업 매각을 검토하고 있다고 밝히기도 했다. 그러나...",http://www.econovill.com/news/articleView.html?idxno=321484
9,굿모닝충청,"당진시, 한가위 명절선물 상품전 참가","시는?이?자리에서?전국?각지에서?모인?전통식품과?농·축·수산물,?건강식품?관련?기업체?및?단체가?기업체?구매?담당자와?대형?백화점,?마트?상품기획자,?유통?바이어?등을?상대로?마케팅을?벌였다. 한편...",http://www.goodmorningcc.com/news/articleView.html?idxno=70803
10,시빅뉴스,"이번엔 유럽산 'E형 간염 소시지' 파동...""동물 피, 생간, 육회 먹으면 위험""","건강식품이라며 생간이나 동물 피를 먹는 것도 지양해야 한다""고 강조했다. 소식을 들은 네티즌들은 연이어 터지는 먹거리 문제에 답답함을 표했다. 한 네티즌은 ""이번 살충제 계란과 E형 간염 소시지 파동으로 청정하다고...",http://www.civicnews.com/news/articleView.html?idxno=9314
11,데일리한국,[주간한국]공정위 대책에 대형유통업체 초긴장,"홈플러스에서 최고 마진율을 보이는 품목은 식품/건강 제품으로 69.5%에 달했다. 이마트는 생활/주방용품이 66.7%, 롯데마트는 패션잡화가 50.0%, 하나로마트는 생활/주방용품이 50.0%로 최고 마진율을 기록했다. 중기중앙회...",http://daily.hankooki.com/lpage/economy/201708/dh20170826070048138060.htm
12,연합뉴스,[한방엑스포 미리보기] 신약개발 원천 천연물의 비전 제시,"이곳에는 천연물을 이용해 만든 의약품, 건강식품, 화장품 등의 제품이 전시돼 있다. 이어지는 '천연물 실험실'(Zone3)은 관람객들이 천연물을 만드는 색다른 체험을 할 수 있다. 증강현실(AR)시스템을 통해 마치 관람객들이...",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170824099300064&did=1195m
