제품명,가격,,평균가격,최댓값,최솟값
[노브랜드] 굿밀크 우유 1L,"1,680",,"4,666","18,500",550
[노브랜드] 깨끗한 물티슈 100매,800,,,,
[노브랜드] 미네랄 워터 생수 2L x  6개입,"2,520",,,,
[노브랜드] 미네랄 워터 생수 500ml x 30개입,"5,980",,,,
[노브랜드] 자색 고구마 칩 스낵 110g,"1,180",,,,
[노브랜드] 감자 칩 사워 크림 & 어니언 110g,980,,,,
[노브랜드] 감자 칩 오리지날 110g,890,,,,
[노브랜드] 냉동 돈 삼겹살 바로구이(1kg),"9,900",,,,
[노브랜드] 떡볶이 402.5g,"2,980",,,,
[노브랜드] 마시는 요구르트 65ml * 15개입,"1,180",,,,
[노브랜드] 그릴 닭가슴살 140g,"1,980",,,,
[노브랜드] 쌀밥 한 공기 즉석밥 210g,680,,,,
[노브랜드] 한입 비엔나 소시지 500g,"4,580",,,,
[노브랜드] 버터 쿠키 400g,"2,980",,,,
[노브랜드] 테이크 아웃 일회용 종이컵 380ml/25P,"1,580",,,,
[노브랜드] 맛있는 군밤 100g＊2,"3,980",,,,
[노브랜드] 인절미 스낵 130g,"1,380",,,,
[노브랜드] 바삭 냉동 군 만두 1kg,"3,780",,,,
[노브랜드] 초코 웨이퍼롤 115g,980,,,,
[노브랜드] 쫀득한 치즈스틱 1kg,"7,980",,,,
[노브랜드] 아몬드 크랜베리 시리얼 630g,"4,980",,,,
[노브랜드] 굿밀크 저지방 우유 1L,"1,880",,,,
[노브랜드] 냉동 닭가슴살 1kg,"5,250",,,,
[노브랜드] 오렌지 주스 1.5L,"1,780",,,,
[노브랜드] 제주 감귤 주스 1.5L,"1,680",,,,
[노브랜드] 알로에 주스 1.5L,"1,680",,,,
[노브랜드] 참기름과 들기름으로 구운 우리 재래 김,"5,280",,,,
[노브랜드] 냉동 차돌박이 바로구이 소고기 (600g),"15,800",,,,
[노브랜드] 김 자반 65g,"2,680",,,,
[노브랜드] 한입 떡 갈비 700g,"6,180",,,,
[노브랜드] 크라비 맛살 150g,"1,380",,,,
[노브랜드] 냉동 딸기 1.3kg,"5,980",,,,
[노브랜드] 매일 채움 견과 20g * 20개입,"9,800",,,,
[노브랜드] 습기 제거제 8P,"6,600",,,,
"[노브랜드] 물 만두 1,000g","5,680",,,,
[노브랜드] 슈레드 모짜렐라 치즈 100g*8,"11,980",,,,
