,판매시간,홈쇼핑채널,제품명,소비자가,판매가
0,,cjmallplus,독하게하자 풋사과 다이어트 시크릿 12주,,"146,000원"
1,0시10분~1시00분,gsshop,끓는물에 15초면 OK!  글로벌 브랜드 보노스프 머그컵까지,"59,900원","58,900원"
2,0시50분~1시40분,immall,"[여름엔 홍삼!! 면역력 증진, 피로개선에 도움] 금산홍삼농축액(50g*10병+쇼핑백3장)","176,000원","175,000원"
3,,immall,[공영홈쇼핑 1등 홍삼 & 홍삼농축액 100%] 금산 홍삼농축액(50g*6병+1병),,"128,000원"
4,1시00분~2시00분,nsmall,유기농노니원료100% 더퍼스트올가노니 총 4박스,,"198,000원"
5,,nsmall,용대리 황태세트 13미,,"38,900원"
6,1시36분~2시16분,bshop,찡오랑 오징어 28봉,"39,900원","38,900원"
7,1시40분~2시40분,immall,[남재현박사의 프로바이오틱스]리얼닥터 100억유산균[30캡슐*12병],"99,000원","98,000원"
8,,immall,[남재현박사의 프로바이오틱스]리얼닥터 100억유산균[30캡슐*6병],,"68,000원"
9,2시00분~2시59분,hmallplus,CJ제일제당 비비고 만두 20봉 세트,,"39,900원"
10,2시00분~3시20분,nsmall,팔레오 오메가 사차인치 총 9통(240gX5통+60gX4통),"119,000원","118,000원"
11,,nsmall,전철우 LA갈비 초이스 500gX7팩,,"78,900원"
12,,nsmall,특품 홍천잣 100gX10개,,"74,900원"
13,,nsmall,특품 홍천잣 100gX5개,,"48,900원"
14,2시10분~2시50분,hnsmall,[김구라함박] 데미구라스10팩+부드럽구라5팩+구라까레5팩 (총20팩),"59,900원","53,910원"
15,2시40분~3시40분,immall,제주마을 옥돔(150g*12마리),"69,900원","64,900원"
16,,immall,제주마을 옥돔 (180g*8미),,"64,900원"
17,3시39분~4시39분,ssgshop,"[카드 10%할인,10%적립]서초동 유명맛집 소들녘 소갈비탕 600g x 10팩 + 2팩 더 (총 12팩)","54,900원","53,900원"
18,3시40분~4시40분,immall,순천농협 남도명찬 세트 12팩(최대중량),"49,900원","48,900원"
19,3시42분~4시31분,gsshop,전인화 유산균 락토핏 생유산균 6통 (300포),"79,000원","74,000원"
20,3시45분~4시45분,cjmallplus,대천김 재래김20봉+도시락김 24개,"29,900원","28,900원"
21,4시00분~6시00분,nsmall,메밀꽃필무렵 메밀면(냉메밀면세트 16팩+비빔메밀면세트 4팩+메밀전병 1팩),"49,900원","48,900원"
22,,nsmall,태현실 약선전복장 세트 총 5통(전복장 3통+새우장 2통),,"68,900원"
23,,nsmall,영광군 농협 햅쌀 10kg+10kg,,"41,400원"
24,4시11분~4시21분,lotteonetv,[R]삼육검은콩과칼슘 두유105팩세트(검은콩과칼슘75팩+삼육파우치30팩),"45,900원","44,900원"
25,4시39분~4시50분,ssgshop,"(사랑의 기부미) 김제 새만금 신동진쌀 10kg x2+신동진 현미1kg (총 21kg) (백미,현미 신동진 단일품종)","43,900원","42,900원"
26,,ssgshop,"(사랑의 기부미) 만세 보령 삼광미 GOLD 10kg x 2 + 현미 2kg (총 22kg) (백미, 삼광 단일품종)",,"43,900원"
27,4시40분~5시40분,immall,자연산 손질 참문어 11팩,"59,900원","58,900원"
28,4시51분~5시01분,lotteonetv,[R]삼육검은콩과칼슘 두유105팩세트(검은콩과칼슘75팩+삼육파우치30팩),"45,900원","44,900원"
29,5시30분~6시00분,cjmall,[1촌1명품]쌀눈달린 영양눈쌀 10kg,"26,900원","25,900원"
30,6시00분~6시35분,nsmall,영양 빛깔찬 2017년 수확  햇 고춧가루 3kg,"76,900원","75,900원"
31,6시15분~7시15분,lottemall,팔레오 비타민나무 16병(30g*16개입),,"158,000원"
32,6시19분~7시19분,kshop,종근당건강 시원하다 전립쎈 프라임 9박스/9개월분,"119,000원","118,000원"
33,6시35분~7시25분,nsmall,[5% 조조할인]웰씨나 위매스틱케어 총 12주분,,"170,050원"
34,6시45분~7시45분,cjmallplus,[CJ쏘팔메토]전립소 스페셜 6개월분,"159,000원","158,000원"
35,6시50분~7시30분,hnsmall,[소개] 천호식품 녹용홍삼/흑염소/울금/흑마늘진액/양배추진액,,
36,7시15분~8시15분,cjmall,황성주맷돌두유 검은콩과 검은참깨 60팩+검은콩과17곡 40팩 국산,"55,900원","49,900원"
37,,cjmall,[이롬]황성주박사의 1일1생식 4주,,"99,000원"
38,,cjmall,[이롬]황성주박사의 1일1생식 8주,,"198,000원"
39,,cjmall,[이롬두유]이롬 라이스밀크 미강흑미 16팩,,"19,800원"
40,,cjmall,[이롬두유]이롬 라이스밀크 쌀눈현미 16팩,,"19,800원"
41,7시15분~8시15분,immall,[김문호 원장의 한국인 맞춤 다이어트]감비천 13주 프로그램,"99,000원","98,000원"
42,7시19분~8시19분,kshop,정관장 홍삼 정옥고 총 9병/100g추석 선물 짱,"198,000원","197,000원"
43,7시25분~8시20분,nsmall,(일시불)락토핏 생유산균 골드 총 10개월분,"74,000원","69,000원"
44,,nsmall,(무이자)락토핏 생유산균 골드 총 10개월분,,"74,000원"
45,8시13분~9시13분,lotteonetv,아이맥스 루테인 12박스,"59,900원","58,900원"
46,8시15분~9시25분,gsshop,[산지애] 2017년 햇사과(홍로) 3kg*3박스,"59,900원","58,900원"
47,,gsshop,[오트리] 블랙에디션 고메넛츠 100봉,,"88,900원"
48,8시15분~9시25분,immall,[2017년 햇꿀]허니원 아카시아꿀 550g*4병+쇼핑백 2장,"57,900원","56,900원"
49,9시25분~10시25분,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분),"168,000원","150,300원"
50,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분 + 깔라만시클렌즈 1박스),,"177,300원"
51,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트(800mg*56정 총 4주분),,"139,000원"
52,,hmall,엔젤 비타민D 1000,,"45,000원"
53,9시25분~10시25분,immall,흑선식,"40,900원","39,900원"
54,9시33분~10시32분,shopnt,[17년 추석특집] 정관장 홍삼 정옥고 총 9병 (+선물용 쇼핑백),"198,000원","197,000원"
55,10시25분~11시35분,lottemall,"★[무료체험 1주일분] 다니엘헤니 비타민 트루바이타민 (약 6개월분/1,440 mg×180포/30포씩 6박스)",,"167,000원"
56,,lottemall,"☆다니엘헤니 비타민 트루바이타민 (약 6개월분/1,440 mg×180포/30포씩 6박스)",,"167,000원"
57,11시45분~12시05분,gsmyshop,"삼다찰오메기떡 20개+10개, 콩고물비트오메기떡20개+10개",,"40,900원"
58,,nsmall,"149,000원",,
59,,immall,"35,900원",,
60,13시40분~14시40분,immall,풍기인삼농협 홍삼정올데이秀 10ml*30포*4박스(총 120포),"119,000원","118,000원"
61,,immall,[풍기인삼농협]홍삼정 올데이 秀 10ml*30포,,"58,900원"
62,14시40분~15시40분,immall,★런칭★여수 손질 가재새우 80g*12팩 + 가재새우100g*2팩 / 총14팩,"40,900원","39,900원"
63,14시50분~15시20분,hnsmall,[제주감귤마을] 황금향 2kgx3박스(총 6kg),"59,900원","53,910원"
64,,hnsmall,[제주감귤마을] 황금향 2kgx3박스(총 6kg),,"59,900원"
65,15시10분~15시40분,gsshop,"[대한민국1등오리][다향]무항생제 훈제오리21팩(팩당 180g, 총 3.78kg)+소스10봉","59,900원","58,900원"
66,15시20분~15시50분,hnsmall,김영근의 도토리묵가루세트 ( 묵11봉),"59,900원","53,910원"
67,15시26분~15시46분,gsmyshop,비타민하우스 ★판매 1위★ 온 가족 멀티비타민웰플러스 츄어블 멀티비타민 20개월분 (10병),"49,900원","48,900원"
68,15시35분~16시30분,nsmall,[역대 최다구성](일시불)박경호의 녹용활력 신 6박스/180포,,"152,100원"
69,,nsmall,[역대 최다구성](무이자)박경호의 녹용활력 신 6박스/180포,,"169,000원"
70,16시06분~16시26분,gsmyshop,[마캐는젊은농부들]마분말10g×30봉×1박스/총6박스(1.8kg),,"60,900원"
71,16시17분~17시17분,lotteonetv,삼육검은콩과칼슘 두유105팩세트(검은콩과칼슘75팩+삼육파우치30팩),"45,900원","44,900원"
72,16시26분~17시26분,kshop,[12팩/3.6kg] 구본길 안창살구이,"59,900원","56,900원"
73,16시29분~17시29분,shopnt,쉐프 구본길의 양념LA갈비 7팩 + 양념갈비찜 3팩 (총 10팩),"79,900원","78,900원"
74,16시30분~18시30분,cjmall,[러시아 레드 스노우크랩] 6팩 + 크랩레그1팩,"104,000원","91,600원"
75,,cjmall,[손질새우 20마리] 김나운 더 키친 손질새우,,"10,000원"
76,,cjmall,[러시아 레드 스노우크랩] 1팩,,"30,000원"
77,16시30분~17시00분,nsmall,[99데이 특집]하림 토종닭 순살닭갈비 세트 총14팩(순살닭갈비 400gX7팩+안동식 순살찜닭 300gX7팩),"45,900원","41,310원"
78,16시40분~17시40분,gsshop,[신세계푸드] 올반 소불고기 14팩+전골육수 7팩 총 21팩 3.64kg,"59,900원","58,900원"
79,16시40분~17시40분,immall,강원도 더덕구이 세트 150g*12팩,"50,900원","49,900원"
80,17시34분~18시34분,bshop,"사임당 콩쑥개떡 세트 [ 총 4박스 , 무려 100개 ]","40,900원","39,900원"
81,17시34분~18시35분,ssgshop,"[카드 10%할인,10%적립]제주 은갈치 45토막","59,900원","58,900원"
82,17시40분~18시40분,hmall,[천하일미] 이원일의 전통 소불고기 7팩*160g,,"49,900원"
83,,hmall,[천하일미] 홍석천의 매콤 소불고기 7팩*160g,,"49,900원"
84,,hmall,(직)[천하일미] 홍석천 이원일의 소불고기 콤보(매콤 7팩+전통 7팩+전골육수 6팩),,"59,900원"
85,17시40분~18시39분,hmallplus,[영광군수협]몸愛좋은 굴비 40미,"78,900원","77,900원"
86,17시40분~18시40분,immall,철원오대햅쌀 10kg + 10kg,"55,900원","54,900원"
87,17시45분~18시15분,cjmallplus,제주 하우스 감귤 4.5kg총 3박스,"39,900원","38,900원"
88,17시45분~18시35분,nsmall,영양 빛깔찬 2017년 수확  햇 고춧가루 3kg,"76,900원","75,900원"
89,17시50분~18시30분,hnsmall,한삼인 매일 홍삼정 세트 (총 190포),"198,000원","178,200원"
90,,hnsmall,한삼인 매일 홍삼정 세트 (총 190포),,"178,200원"
91,,hnsmall,한삼인 매일 홍삼정 60포,,"76,500원"
92,18시07분~18시27분,gsmyshop,[골든가든] 다모인 맥주효모 150g *4통,"59,900원","58,900원"
93,18시15분~18시45분,cjmallplus,에브리데이 로얄너츠 60봉,"47,900원","46,900원"
94,18시21분~19시21분,wshop,탐해진미 제주은갈치 45토막,"59,900원","58,900원"
95,18시35분~19시40분,nsmall,(무이자)정관장 홍삼진환 총 10병+휴대용 케이스+쇼핑백 3장,"336,000원","335,000원"
96,,nsmall,(일시불)정관장 홍삼진환 총 10병+휴대용 케이스+쇼핑백 3장,,"315,000원"
97,18시35분~19시35분,ssgshop,"[카드 10%할인,10%적립]서초동 유명맛집 소들녘 소갈비탕 600g x 10팩 + 2팩 더 (총 12팩)","54,900원","53,900원"
98,18시38분~19시23분,shopnt,[비비고 신구성] 비비고 왕교자 7봉 + 비비고 김치왕교자 3봉 + 비비고 새우왕교자 1봉 + 비비고 물만두 2봉 + 고추깻잎군만두 2봉 (총15봉),"40,900원","39,900원"
99,18시40분~19시40분,lottemall,더반찬 9월 정기배송 4주구성[1회차],,"78,900원"
100,,lottemall,더반찬 9월 정기배송 1주구성,,"25,900원"
101,,lottemall,더반찬 9월 정기배송 2주구성[1회차],,"45,900원"
102,19시29분~20시29분,gsmyshop,[장인의 아침] 윤상섭 왕갈비(600g*6팩) 무려 3.6kg,"69,900원","68,900원"
103,19시30분~20시10분,hnsmall,UltraFlora 여에스더유산균 BLUE 6병 (12개월분) + 휴대용용기,"227,000원","204,300원"
