,판매시간,홈쇼핑채널,제품명,소비자가,판매가,url
0,1시00분~2시00분,nsmall,빨강 석류즙 총 6박스,"116,100원","115,100원",http://hsmoa.com/i?id=8283342&from=web_timeline
1,1시10분~2시05분,immall,[어선방]해초샐러드9종 20g*25봉,"50,900원","49,900원",http://hsmoa.com/i?id=8284601&from=web_timeline
2,2시05분~3시05분,immall,[산지직송]완도참전복_대 사이즈 22미+1미,"60,900원","59,900원",http://hsmoa.com/i?id=8284602&from=web_timeline
3,3시05분~4시05분,immall,★송선미시즌2★김지우 천연육수이야기 총120팩!,"46,900원","45,900원",http://hsmoa.com/i?id=8284603&from=web_timeline
4,4시05분~5시05분,immall,[남재현박사의 프로바이오틱스]리얼닥터 100억유산균[30캡슐*12병],"99,000원","98,000원",http://hsmoa.com/i?id=8284604&from=web_timeline
5,,immall,[남재현박사의 프로바이오틱스]리얼닥터 100억유산균[30캡슐*6병],,"68,000원",http://hsmoa.com/i?id=8284605&from=web_timeline
6,,immall,[남재현박사의 프로바이오틱스]리얼닥터 100억유산균[30캡슐*1병],,"30,000원",http://hsmoa.com/i?id=8284606&from=web_timeline
7,5시05분~6시05분,immall,친환경영양담은누룽지60봉+8봉(최다구성),"40,900원","39,900원",http://hsmoa.com/i?id=8284607&from=web_timeline
8,5시30분~6시00분,cjmall,보나뚜라 홍삼정25수秀 3box 10mlx90포 3개월분,"168,000원","148,000원",http://hsmoa.com/i?id=8285202&from=web_timeline
9,,cjmall,보나뚜라 홍삼정25수秀 1box 10mlx30 포,,"128,000원",http://hsmoa.com/i?id=8285203&from=web_timeline
10,5시30분~6시00분,gsshop,[아리울수산] 반건조 황금박대 총 12+1미,,"59,900원",http://hsmoa.com/i?id=8281962&from=web_timeline
11,6시00분~7시25분,nsmall,(무이자)프리바이오틱스 FOS 플러스 9박스(9개월분)+프로바이오틱스 3박스(3개월분),,"169,100원",http://hsmoa.com/i?id=8284822&from=web_timeline
12,,nsmall,(일시불)프리바이오틱스 FOS 플러스 9박스(9개월분)+프로바이오틱스 3박스(3개월분),,"159,100원",http://hsmoa.com/i?id=8284823&from=web_timeline
13,6시05분~7시15분,immall,김연도 웰빙 혼합곡 + 옹기 미니쌀독,"54,900원","53,900원",http://hsmoa.com/i?id=8284608&from=web_timeline
14,7시15분~8시15분,cjmall,황성주맷돌두유 검은콩과 검은참깨 60팩+검은콩과17곡 40팩 국산,"55,900원","49,900원",http://hsmoa.com/i?id=8284331&from=web_timeline
15,,cjmall,[이롬]황성주 박사의 국내산100% 검은콩 고칼슘 두유 1박스16입,,"17,800원",http://hsmoa.com/i?id=8284332&from=web_timeline
16,,cjmall,[이롬]황성주박사의 1일1생식 4주,,"99,000원",http://hsmoa.com/i?id=8284333&from=web_timeline
17,,cjmall,[이롬]황성주박사의 1일1생식 8주,,"198,000원",http://hsmoa.com/i?id=8284335&from=web_timeline
18,7시15분~8시15분,immall,[한삼인] 안심황혈단 총 40환,"129,000원","128,000원",http://hsmoa.com/i?id=8282771&from=web_timeline
19,7시25분~8시20분,nsmall,[5% 조조할인]관절팔팔 총 6병/3개월분,,"188,100원",http://hsmoa.com/i?id=8285862&from=web_timeline
20,8시15분~9시25분,gsshop,★9월 단 한번 생방송★[이경제의 더힘찬]홍삼품은 장어 120포 (60ml*30포*4박스),"159,000원","158,000원",http://hsmoa.com/i?id=8282487&from=web_timeline
21,9시25분~10시25분,cjmall,[정관장화애락큐]여배우 김성령의 갱년기관리국내산 100% 1박스,,"130,000원",http://hsmoa.com/i?id=8284336&from=web_timeline
22,,cjmall,[정관장화애락큐]김성령의 갱년기관리정관장 화애락큐 3박스,,"390,000원",http://hsmoa.com/i?id=8284337&from=web_timeline
23,9시25분~10시25분,gsshop,17년 대세 보이차다이어트 12주분+링곤베리 3통 더,,"168,000원",http://hsmoa.com/i?id=8281964&from=web_timeline
24,9시50분~10시30분,hnsmall,[리얼세븐]하루건강견과 프리미엄 2박스+하루건강견과 엑설런트 2박스 총 100봉,"69,900원","62,910원",http://hsmoa.com/i?id=8281989&from=web_timeline
25,10시25분~11시40분,immall,무안 자색양파즙 180포,"62,900원","61,900원",http://hsmoa.com/i?id=8284955&from=web_timeline
26,10시30분~11시30분,hnsmall,"팔레오 오메가 사차인치 세트(총1,440g)","119,000원","107,100원",http://hsmoa.com/i?id=8285214&from=web_timeline
27,,hnsmall,"팔레오 오메가 사차인치 더블세트 (총 2,880g)",,"196,200원",http://hsmoa.com/i?id=8285215&from=web_timeline
28,,hnsmall,"팔레오 오메가 사차인치 더블세트 (총 2,880g)",,"196,200원",http://hsmoa.com/i?id=8285216&from=web_timeline
29,,hnsmall,"팔레오 오메가 사차인치 세트(총1,440g)",,"107,100원",http://hsmoa.com/i?id=8285217&from=web_timeline
30,11시40분~12시30분,immall,명미당 밥알떡 현미 30개 + 쑥30개 since1969,"40,900원","39,900원",http://hsmoa.com/i?id=8286099&from=web_timeline
31,11시45분~12시05분,gsmyshop,[MYSHOP] [종가집] 갓김치 2kg+파김치 1kg+열무김치 1kg,"40,900원","39,900원",http://hsmoa.com/i?id=8283307&from=web_timeline
32,12시26분~13시26분,shopnt,"무안 자색 양파즙 (총 130팩, 4박스)","49,900원","45,900원",http://hsmoa.com/i?id=8286259&from=web_timeline
33,12시30분~13시20분,immall,어된장2세트(新)-어된장900g*6병 +어간장490ml*2병 +발효멸치액490ml*2병,"59,900원","58,900원",http://hsmoa.com/i?id=8282772&from=web_timeline
34,,immall,어된장 세트(新)-어된장900g*3통 + 어간장490ml*1통 + 발효멸치액490ml*1병,,"48,900원",http://hsmoa.com/i?id=8282774&from=web_timeline
35,13시20분~14시10분,immall,[바다맘]국내산 순살 갈치(200g*10팩)+국내산 순살 삼치(150g*5팩)/총 15팩,"45,900원","44,900원",http://hsmoa.com/i?id=8282775&from=web_timeline
36,13시26분~13시35분,shopnt,[농마드] 청도 반건시 20개+20개 2세트 (60g) [테마_방송],"47,900원","44,900원",http://hsmoa.com/i?id=8285638&from=web_timeline
37,,shopnt,[농마드] 청도 반건시 20개(60g) [테마_방송],,"26,900원",http://hsmoa.com/i?id=8285639&from=web_timeline
38,14시10분~15시00분,immall,구삼 한뿌리 1+1세트 20개,"119,000원","118,000원",http://hsmoa.com/i?id=8282776&from=web_timeline
39,,immall,구삼 한뿌리 1세트 10개,,"68,000원",http://hsmoa.com/i?id=8282777&from=web_timeline
40,14시26분~14시46분,gsmyshop,제주직송 돌밭하우스감귤 2.5kg + 2.5Kg,"42,900원","39,900원",http://hsmoa.com/i?id=8283695&from=web_timeline
41,14시40분~15시35분,nsmall,[10%세일(~9/18)](무이자)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,"304,200원","303,200원",http://hsmoa.com/i?id=8284825&from=web_timeline
42,,nsmall,[10%세일(~9/18)](일시불)정관장 홍삼활력PLUS 총 7박스/7개월분+쇼핑백 7장,,"293,200원",http://hsmoa.com/i?id=8284826&from=web_timeline
43,15시10분~15시40분,gsshop,간편한 하루 해초샐러드 총 30팩+양념장,"59,900원","58,900원",http://hsmoa.com/i?id=8281965&from=web_timeline
44,15시50분~16시40분,immall,산애삼 1~2년근삼 100뿌리+10뿌리,"49,900원","48,900원",http://hsmoa.com/i?id=8282779&from=web_timeline
45,16시10분~16시50분,hnsmall,금강 자연산 다슬기 진국 10+1팩 (팩당 350g),"49,900원","44,910원",http://hsmoa.com/i?id=8282000&from=web_timeline
46,16시30분~18시30분,cjmall,김나운 갈비살 名作 11팩,"70,900원","69,900원",http://hsmoa.com/i?id=8285946&from=web_timeline
47,,cjmall,김나운 갈비살 名作 1팩,,"12,000원",http://hsmoa.com/i?id=8285948&from=web_timeline
